planetName,discoveryMethod,planetsInSystem,orbitalPeriod,orbitalSemiMajorAxis,orbitalEccentricity,planetDensity,orbitalInclination,rightAscension,Declination,distanceParsecs,vBand,stellarTemperature,solarMass,solarRadii,periastronDays,planetEarthMasses,planetEarthMassSinI,planetEarthRadii,planetSolarRadii,stellarRadialVelocity,spectralType,stellarLuminosity,stellarDensity
RR Cae b,Eclipse Timing Variations,1,4343.5,5.3,0,,17.6,65.273178,-48.651978,,,,0.44,,,,1334.8,,,,6,,
UZ For b,Eclipse Timing Variations,2,5840,5.9,0.04,,,53.869339,-25.739395,,,,0.7,,,2002.2,,,,,,,
UZ For c,Eclipse Timing Variations,2,1916.25,2.8,0.05,,,53.869339,-25.739395,,,,0.7,,,2447.2,,,,,,,
alf Ari b,Radial Velocity,1,380.8,1.2,0.25,,,31.793364,23.462423,20.21,2,4553,1.5,13.9,2451213.52,,572.07,,,-14.6,5.1,,
alf Cen B b,Radial Velocity,1,3.2357,0.04,0,,,219.896164,-60.837154,1.35,1.34,5214,0.93,0.86,,,1.13,,,-18.6,5.1,,
bet Cnc b,Radial Velocity,1,605.2,1.7,0.08,,,124.128838,9.185545,89.05,3.53,4092.1,1.7,47.2,2453229.8,,2479,,,22.6,5.4,2.9,
bet Pic b,Imaging,1,7482.5,9.04,0.06,,90.69,86.821198,-51.066513,19.28,3.85,,,,,,,,,,2.5,,
bet UMi b,Radial Velocity,1,522.3,1.4,0.19,,,222.676361,74.155502,38.78,2.08,4126,1.4,38.3,2453175.3,,1938.7,,,16.9,5.4,2.73,
eps Eri b,Radial Velocity,1,2502,3.39,0.702,,30.1,53.232685,-9.458262,3.22,3.73,,0.83,,2454207,,492.616,,,16,5.2,,
eps CrB b,Radial Velocity,1,417.9,1.3,0.11,,,239.396881,26.87788,70.42,4.15,4406,1.7,21,2451235.3,2129.371,,,,-30.92,5.2,,
eps Tau b,Radial Velocity,1,594.9,1.93,0.151,,,67.154167,19.180431,47.53,3.54,4901,2.7,13.7,2452879,,2415.406,,,,5,1.987,
gam 1 Leo b,Radial Velocity,1,428.5,1.19,0.144,,,154.993149,19.841488,38.52,1.98,4330,1.23,31.88,2451236,,2790.43,,,,5.1,,
gam Cep b,Radial Velocity,1,903.3,2.05,0.049,,,354.836884,77.632278,13.79,3.21,4888,1.4,4.9,2453227,,587.961,,,,5.1,,
kap CrB b,Radial Velocity,1,1251,2.6,0.073,,,237.808044,35.657383,31.12,4.82,4877,1.51,5,2451860,508.507,,,,,5,1.111,
kap And b,Imaging,1,,55,,,,355.102112,44.333931,52.03,4.14,10900,2.6,,,4327.36,,,,,1.9,1.83,
mu Leo b,Radial Velocity,1,357.8,1.1,0.09,,,148.190903,26.006952,40.78,3.88,4538.2,1.5,11.4,2452921,,762.8,,,13.6,5.2,1.797,
nu Oph b,Radial Velocity,2,530.32,1.9,0.1256,,,269.756622,-9.773632,46.84,3.34,4928,3.04,15.1,2452034.2,7627.6,,,,,5.1,2.09,
nu Oph c,Radial Velocity,2,3186,6.1,0.165,,,269.756622,-9.773632,46.84,3.34,4928,3.04,15.1,2453038,8581.05,,,,,5.1,2.09,
