planetName,discoveryMethod,planetsInSystem,orbitalPeriod,orbitalSemiMajorAxis,orbitalEccentricity,planetDensity,orbitalInclination,rightAscension,Declination,distanceParsecs,vBand,stellarTemperature,solarMass,solarRadii,periastronDays,planetEarthMasses,planetEarthMassSinI,planetEarthRadii,planetSolarRadii,stellarRadialVelocity,spectralType,stellarLuminosity,stellarDensity
HD 102117 b,Radial Velocity,1,20.8133,0.1532,0.121,,,176.210251,-58.703709,42,7.448,,,,2450942.2,,54.664,,,48.9,4.6,,
HD 102195 b,Radial Velocity,1,4.113775,,0,,,176.426224,2.821483,28.98,8.062,,,,2453895.96,,143.02,,,,5,,
HD 102272 b,Radial Velocity,1,127.58,0.614,0.05,,,176.598068,14.123986,164.2,8.711,,,,2452146,,1875.1,,,,5.2,,
HD 102365 b,Radial Velocity,1,122.1,0.46,0.34,,,176.629471,-40.500355,9.24,4.91,,,,2450129,,16,,,16.8,4.4,,
HD 102329 b,Radial Velocity,1,778.1,2.03,0.211,,,176.694351,3.474293,138.5,7.886,,,,2455096,,1875.1,,,,5,,
HD 102956 b,Radial Velocity,1,6.495,0.081,0.048,,,177.843796,57.640736,121.07,7.851,,,,2455346,,305.1,,,,4.5,,
HD 103197 b,Radial Velocity,1,47.84,0.249,0,,,178.220749,-50.292824,49.33,9.391,,,,,,31.2,,,,5.1,,
HD 103774 b,Radial Velocity,1,5.8881,0.07,0.09,,,179.231628,-12.107909,53.08,7.121,6489,1.33,,2455675.4,,116,,,-3.05,3.5,0.544,
HD 104067 b,Radial Velocity,1,55.806,0.2643,0,,,179.791702,-20.353781,20.82,7.92,,,,2454043.15,,58.985,,,15,5.2,,
HD 104985 b,Radial Velocity,1,199.505,0.95,0.09,,,181.312988,76.905731,102.04,5.8,,,,2451927.5,,2637.9,,,,5,,
HD 106252 b,Radial Velocity,1,1531,2.611,0.482,,,183.372955,10.041638,37.44,7.408,,,,2453397.5,,2199.29,,,15.4,4,,
HD 106270 b,Radial Velocity,1,2890,4.3,0.402,,,183.40535,-9.513381,87.87,7.577,,,,2454830,,3496,,,23.7,4.5,,
HD 106515 A b,Radial Velocity,1,3630,4.59,0.572,,,183.777359,-7.257327,36.36,7.971,5362,0.97,1.62,2451803.8,,3054.22,,,20.81,4.5,0.09,
HD 106906 b,Imaging,1,,650,,,,184.471634,-55.975525,91.83,7.797,6516,1.5,,,3496,,,,11.1,3.5,0.75,
HD 107148 b,Radial Velocity,1,48.056,0.269,0.05,,,184.806213,-3.319789,51.26,8.015,,,,2439969,,66.741,,,25.2,4.5,,
HD 108147 b,Radial Velocity,1,10.8985,0.102,0.53,,,186.44278,-64.022087,38.56,6.995,,,,2450828.86,,82.95,,,-5.4,3.9,,
HD 108863 b,Radial Velocity,1,443.4,1.4,0.06,,,187.582962,21.948244,138.5,7.739,,,,2455516,,826.3,,,,5,,
HD 108874 b,Radial Velocity,2,395.8,1.038,0.082,,,187.612015,22.879829,68.54,8.738,,,,2454069,,409.98,,,-30.7,4.5,,
HD 108874 c,Radial Velocity,2,1624,2.659,0.239,,,187.612015,22.879829,68.54,8.738,,,,2452839,,314.64,,,-30.7,4.5,,
HD 109246 b,Radial Velocity,1,68.27,0.33,0.12,,,188.029953,74.489548,65.62,8.757,,,,2454824.6,,244.72,,,,4,,
HD 109271 b,Radial Velocity,2,7.8543,0.079,0.25,,,188.398148,-11.621868,56.92,8.055,5783,1.05,,2455719.1,,17.162,,,-4.9,4.5,0.301,
HD 109271 c,Radial Velocity,2,30.93,0.196,0.15,,,188.398148,-11.621868,56.92,8.055,5783,1.05,,2455733,,24.154,,,-4.9,4.5,0.301,
HD 109749 b,Radial Velocity,1,5.24,0.0635,0.01,,,189.318237,-40.812115,59.03,8.208,,,,2453013.55,,88.989,,,-13.7,4.3,,
HD 110014 b,Radial Velocity,1,835.477,2.14,0.462,,,189.811523,-7.995564,97.66,4.67,,,,2451796.907,,3524.59,,,,5.2,,
HD 111232 b,Radial Velocity,1,1143,1.97,0.2,,,192.215637,-68.425148,28.88,7.607,,,,2451230,,2173.87,,,103.8,4.8,,
HD 113337 b,Radial Velocity,1,324,0.92,0.46,,,195.445526,63.610226,37.42,6.008,6576.6,1.4,1.5,2456074.5,,899.42,,,-16,3.6,,
HD 113538 b,Radial Velocity,2,263.3,0.71,0.61,,,196.239487,-52.442924,15.71,9.07,,,,2454950,,85.81,,,38.2,5.25,,
HD 113538 c,Radial Velocity,2,1657,2.43,0.32,,,196.239487,-52.442924,15.71,9.07,,,,2456110,,225.65,,,38.2,5.25,,
HD 114386 b,Radial Velocity,1,937.7,1.65,0.23,,,197.665924,-35.054783,28.04,8.715,,,,2450454,,394.09,,,34,5.3,,
HD 114613 b,Radial Velocity,1,3827,5.16,0.25,,,198.013275,-37.80302,20.48,4.85,5729,1.36,,2455550.3,,152.55,,,-11.2,4.4,,
HD 114762 b,Radial Velocity,1,83.888,0.363,0.3359,,,198.08226,17.517122,40.57,7.301,,,,2449788.23,,3710,,,49.2,3.8,,
HD 114783 b,Radial Velocity,1,493.7,1.16,0.144,,,198.182434,-2.26504,20.43,7.563,,,,2453806,,349.6,,,-12.8,5.1,,
HD 114729 b,Radial Velocity,1,1114,2.11,0.167,,,198.184402,-31.873348,35,6.695,,,,2450520,,301.93,,,64.4,4,,
HD 116029 b,Radial Velocity,1,670,1.78,0.054,,,200.164764,24.648699,110.62,7.871,,,,2455220,,667.4,,,,5,,
HD 117207 b,Radial Velocity,1,2597,3.79,0.144,,,202.337967,-35.570995,33.01,7.247,,,,2450630,,597,,,-17.9,4.8,,
HD 117618 b,Radial Velocity,1,25.827,0.176,0.42,,,203.106476,-47.271362,38.02,7.169,,,,2450832.2,,56.6,,,0.9,4.2,,
HD 118203 b,Radial Velocity,1,6.1335,0.07,0.309,,,203.510574,53.728531,88.57,8.057,,,,2453394.23,,677,,,,5,,
HD 120084 b,Radial Velocity,1,2082,4.3,0.66,,,205.663345,78.064438,97.66,5.899,4892,2.39,9.12,2450774,,1430.2,,,,4.7,1.64,
HD 121504 b,Radial Velocity,1,63.33,0.33,0.03,,,209.321823,-56.040043,44.37,7.517,,,,2451450,,388,,,19.3,4.2,,
HD 125612 b,Radial Velocity,3,559.4,1.37,0.46,,,215.222977,-17.481522,52.83,8.317,,,,2454894.9,,968,,,-18.4,4.3,,
HD 125612 c,Radial Velocity,3,4.1547,0.05,0.27,,,215.222977,-17.481522,52.83,8.317,,,,,,18,,,-18.4,4.3,,
HD 125612 d,Radial Velocity,3,3008,4.2,0.28,,,215.222977,-17.481522,52.83,8.317,,,,,,2286,,,-18.4,4.3,,
HD 125595 b,Radial Velocity,1,9.6737,0.0809,0,,,215.346603,-40.393948,27.45,9,,,,2454435.23,,13.134,,,,5.35,,
HD 126614 b,Radial Velocity,1,1244,2.35,0.41,,,216.701172,-5.17778,68.35,8.788,,,,2453808,,120,,,-33.1,4.8,,
HD 128311 b,Radial Velocity,2,454.2,1.086,0.345,,,219.002335,9.746518,16.57,7.487,,,,2453835,,460.83,,,-9.6,5.28,,
HD 128311 c,Radial Velocity,2,923.8,1.745,0.23,,,219.002335,9.746518,16.57,7.487,,,,2456987,,1029.73,,,-9.6,5.28,,
HD 129445 b,Radial Velocity,1,1840,2.9,0.7,,,221.512772,-68.762749,67.61,8.787,,,,2453093,,508.507,,,7.5,4.6,,
HD 130322 b,Radial Velocity,1,10.7085,0.0896,0.011,,,221.886368,-0.281476,29.76,8.031,,,,2453995,,330.53,,,-12.6,5,,
HD 131496 b,Radial Velocity,1,883,2.09,0.163,,,223.345947,18.235401,121.36,7.799,,,,2456040,,699.2,,,,5,,
HD 132406 b,Radial Velocity,1,974,1.98,0.34,,,224.227707,53.382168,70.97,8.467,,,,2453474,,1782.951,,,,4,,
HD 132563 b,Radial Velocity,1,1544,2.62,0.22,,,224.589661,44.043148,98.52,8.928,,,,2452593,,473.547,,,,3.8,,
HD 131664 b,Radial Velocity,1,1951,3.17,0.638,,,225.025314,-73.535339,57.21,8.128,,,,2452060,,5768.371,,,34.7,4.3,,
HD 134987 b,Radial Velocity,2,258.19,0.81,0.233,,,228.369446,-25.309347,25.65,6.45,,,,2450071,,505,,,4.7,4.5,,
HD 134987 c,Radial Velocity,2,5000,5.8,0.12,,,228.369446,-25.309347,25.65,6.45,,,,2461100,,260,,,4.7,4.5,,
HD 136418 b,Radial Velocity,1,464.3,1.32,0.255,,,229.775757,41.733208,106.38,7.879,,,,2455228,,635.633,,,,4.5,,
HD 139357 b,Radial Velocity,1,1125.7,2.36,0.1,,,233.81749,53.922142,121.36,5.964,,,,2452466.7,,3101.89,,,,5,,
HD 137388 A b,Radial Velocity,1,330,0.89,0.36,,,233.916367,-80.20459,38.45,8.696,,,,2455209,,70.8731,,,25.8,5.2,,
HD 141937 b,Radial Velocity,1,653.22,1.52,0.41,,,238.07312,-18.436066,33.46,7.25,,,,2451847.38,,3080,,,-3.3,4.25,,
HD 142245 b,Radial Velocity,1,1299,2.77,0.09,,,238.234497,15.430708,106.38,7.452,,,,2454760,,603.9,,,,5,,
HD 142415 b,Radial Velocity,1,386.3,1.05,0.5,,,239.419968,-60.200256,34.57,7.327,,,,2451519,,515,,,-12,4.1,,
HD 143361 b,Radial Velocity,1,1057,2,0.15,,,240.459778,-44.434536,59.35,9.225,,,,2453746,,991.588,,,-1.5,4.6,,
HD 145457 b,Radial Velocity,1,176.3,0.76,0.112,,,242.516312,26.74275,126.1,6.566,,,,2453518,,921.668,,,,5,,
HD 142022 A b,Radial Velocity,1,1928,3.03,0.53,,,242.562592,-84.231613,35.87,7.655,,,,2450941,,1600,,,-10,4.9,,
HD 145377 b,Radial Velocity,1,103.95,0.45,0.307,,,242.901855,-27.078173,55.19,8.095,,,,2454635.4,,1830.624,,,11.1,4.3,,
HD 147018 b,Radial Velocity,2,44.236,0.2388,0.4686,,,245.75061,-61.688763,42.68,8.301,,,,2454459.49,,674,,,-27.9,4.9,,
HD 147018 c,Radial Velocity,2,1008,1.922,0.133,,,245.75061,-61.688763,42.68,8.301,,,,2455301,,2080,,,-27.9,4.9,,
HD 147513 b,Radial Velocity,1,528.4,1.32,0.26,,,246.005371,-39.192982,12.87,5.39,,,,2451123,,385,,,12.6,4.4,,
HD 148156 b,Radial Velocity,1,1027,2.45,0.52,,,247.072006,-46.317623,53.05,7.689,,,,2454707,,270.144,,,-2,4.1,,
HD 148427 b,Radial Velocity,1,331.5,0.93,0.16,,,247.117294,-13.39964,59.28,6.895,,,,2453991,,310,,,-37.8,5,,
HD 149026 b,Radial Velocity,1,2.8758911,0.04288,0,0.85,88,247.623413,38.347309,78.86,8.137,6160,1.34,1.54,,116.957,,9.113,0.084,-18.1,4,0.481,
HD 149143 b,Radial Velocity,1,4.072,0.053,0.016,,,248.212708,2.084832,63.49,7.893,,,,2453483.9,,422.7,,,,4.3,,
HD 152079 b,Radial Velocity,1,2097,3.2,0.6,,,253.373901,-46.332958,85.18,9.156,,,,2453193,,953.45,,,-21.5,4.6,,
HD 152581 b,Radial Velocity,1,689,1.48,0.074,,,253.431595,11.973746,182.82,8.347,,,,2455320,,476.7,,,,5,,
HD 153950 b,Radial Velocity,1,499.4,1.28,0.34,,,256.128632,-43.309769,51.87,7.39,,,,2454502,,867.639,,,33,3.8,,
HD 154345 b,Radial Velocity,1,3342,4.19,0.044,,,255.651688,47.081882,18.06,6.769,,,,2452830,,300.972,,,-47.3,4,,
HD 154672 b,Radial Velocity,1,163.9,0.6,0.61,,,257.520477,-56.449268,65.79,8.204,,,,2454520,,1600,,,,4.3,,
HD 154857 b,Radial Velocity,2,408.6,1.291,0.46,,,257.815521,-56.680798,68.54,7.238,5605,1.72,1.76,2453572.5,,711.91,,,27.9,4.5,,
HD 154857 c,Radial Velocity,2,3452,5.36,0.06,,,257.815521,-56.680798,68.54,7.238,5605,1.72,1.76,2455219,,819.97,,,27.9,4.5,,
HD 155358 b,Radial Velocity,2,194.3,0.64,0.17,,,257.394226,33.355854,43.4,7.27,,,,2451224.8,,270,,,-9.1,4,,
HD 155358 c,Radial Velocity,2,391.9,1.02,0.16,,,257.394226,33.355854,43.4,7.27,,,,2455345.4,,261,,,-9.1,4,,
HD 156279 b,Radial Velocity,1,131.05,0.495,0.708,,,258.09668,63.352093,35.37,8.077,,,,2455525.59,,3086,,,,5,,
HD 156411 b,Radial Velocity,1,842,,,,,259.964172,-48.54932,55.1,6.673,,,,,,238.36246,,,-39.1,4.1,,
HD 156668 b,Radial Velocity,1,4.6455,0.05,0,,,259.418701,29.227226,24.05,8.424,,,,2454718.57,,4.15,,,,5.3,,
HD 156846 b,Radial Velocity,1,359.5546,1.096,0.84785,,,260.142944,-19.333746,49,6.52,,,,2455076.686,,3359.32,,,-68.8,4.1,,
HD 158038 b,Radial Velocity,1,521,1.52,0.291,,,261.439301,27.303341,114.15,7.464,,,,2455491,,572.1,,,,5,,
HD 159243 b,Radial Velocity,2,12.62,0.11,0.02,,,263.339783,5.700733,68.59,8.646,6123,1.12,1.12,,,359.13,,,-22.69,4,0.114,
HD 159243 c,Radial Velocity,2,248.4,0.8,0.075,,,263.339783,5.700733,68.59,8.646,6123,1.12,1.12,,,603.9,,,-22.69,4,0.114,
HD 159868 b,Radial Velocity,2,1178.4,2.25,0.01,,,264.748016,-43.145515,52.72,7.242,,,,2453435,,667.41,,,-23.5,4.5,,
HD 159868 c,Radial Velocity,2,352.3,1,0.15,,,264.748016,-43.145515,52.72,7.242,,,,2453239,,232.01,,,-23.5,4.5,,
HD 160691 b,Radial Velocity,4,643.25,1.497,0.128,,,266.036255,-51.834053,15.28,5.15,,,,2452365.6,532.661,,,,-6.9,4.3,,
HD 160691 c,Radial Velocity,4,4205.8,5.235,0.0985,,,266.036255,-51.834053,15.28,5.15,,,,2452955.2,,576.519,,,-6.9,4.3,,
HD 160691 d,Radial Velocity,4,9.6386,0.09094,0.172,,,266.036255,-51.834053,15.28,5.15,,,,2452991.1,10.5547,,,,-6.9,4.3,,
HD 160691 e,Radial Velocity,4,310.55,0.921,0.0666,,,266.036255,-51.834053,15.28,5.15,,,,2452708.7,165.868,,,,-6.9,4.3,,
HD 162020 b,Radial Velocity,1,8.428198,0.074,0.277,,,267.659821,-40.318348,31.26,9.118,,,,2451990.677,,4580,,,-27.6,5.2,,
HD 163607 b,Radial Velocity,2,75.29,0.36,0.73,,,268.418732,56.391956,69.44,7.979,,,,2454185,,244.72,,,,4.5,,
HD 163607 c,Radial Velocity,2,1314,2.42,0.12,,,268.418732,56.391956,69.44,7.979,,,,,,727.8,,,,4.5,,
HD 164509 b,Radial Velocity,1,282.4,0.875,0.26,,,270.380127,0.104556,51.81,8.103,,,,,,153,,,13.3,4.2,,
HD 164922 b,Radial Velocity,1,1155,2.11,0.05,,,270.628601,26.313002,21.92,6.99,,,,2451100,,114.414,,,20.2,4.9,,
HD 164604 b,Radial Velocity,1,606.4,1.3,0.24,,,270.7789,-28.560644,37.98,9.827,,,,2452674,,858.105,,,7.2,5.2,,
HD 166724 b,Radial Velocity,1,5144,5.42,0.734,,,273.498657,-42.575375,42.99,9.344,5127,0.81,,2453212,,1121.89,,,-17.62,5,-0.509,
HD 167042 b,Radial Velocity,1,420.77,1.32,0.089,,,272.631836,54.286552,50,5.94,4943,1.5,4.5,2454230.1,,540.29,,,,5.1,1,
HD 168443 b,Radial Velocity,2,58.11289,0.3,0.5286,,,275.016388,-9.595722,37.88,6.917,,,,2410047.387,,2548.88922,,,-49.1,4.6,,
HD 168443 c,Radial Velocity,2,1749.5,2.91,0.212,,,275.016388,-9.595722,37.88,6.917,,,,2410273,,5752.481,,,-49.1,4.6,,
HD 168746 b,Radial Velocity,1,6.403,0.065,0.081,,,275.457428,-11.922684,43.12,7.946,,,,,,73.09782,,,-26.1,4.5,,
HD 169830 b,Radial Velocity,2,225.62,0.81,0.31,,,276.956177,-29.816866,36.32,5.902,,,,,,915.31184,,,-17.4,3.8,,
HD 169830 c,Radial Velocity,2,2102,3.6,0.33,,,276.956177,-29.816866,36.32,5.902,,,,,,1283.97911,,,-17.4,3.8,,
HD 170469 b,Radial Velocity,1,1145,2.1,0.11,,,277.295746,11.695502,64.98,8.176,,,,2461669,,212.937,,,-60.2,4.5,,
HD 171028 b,Radial Velocity,1,538,1.29,0.61,,,278.064552,6.945749,,8.292,,,,2453648.92,,581.604,,,,4,,
HD 171238 b,Radial Velocity,1,1523,2.54,0.4,,,278.681976,-28.072313,44.05,8.652,,,,2455062,,826.32319,,,21.1,4.8,,
HD 173416 b,Radial Velocity,1,323.6,1.16,0.21,,,280.900452,36.556606,134.95,6.037,,,,2453465.8,,858.10485,,,,5,,
HD 175167 b,Radial Velocity,1,1290,2.4,0.54,,,285.003479,-69.944244,67.02,8,,,,2453598,,2478.97,,,,4.5,,
HD 175541 b,Radial Velocity,1,297.3,1.03,0.33,,,283.920349,4.265325,127.55,8.01,,,,2450213,,193.86813,,,19.7,4.7,,
HD 177830 b,Radial Velocity,2,406.6,1.2218,0.009,,,286.336548,25.92066,59.03,7.177,,,,2450154,,473.547,,,-72.2,5,,
HD 177830 c,Radial Velocity,2,110.9,0.5137,0.3,,,286.336548,25.92066,59.03,7.177,,,,2450179,,47.6725,,,-72.2,5,,
HD 178911 B b,Radial Velocity,1,71.484,0.339,0.114,,,287.262939,34.59985,46.73,7.792,,,,2453808.1,,2234.25,,,-40.6,4.5,,
HD 179079 b,Radial Velocity,1,14.476,0.11,0.115,,,287.790955,-2.638385,63.69,7.959,,,,2454400.5,,25.42533,,,,4.5,,
HD 179949 b,Radial Velocity,1,3.0925,0.045,0.022,,,288.888458,-24.179352,27.05,6.245,,,,2451793.98,,301.92578,,,-24.7,3.8,,
HD 180314 b,Radial Velocity,1,396.03,1.4,0.257,,,288.709198,31.86035,131.75,6.608,,,,2453565.9,6991.97,,,,,5,,
HD 180902 b,Radial Velocity,1,479,1.39,0.09,,,289.823792,-23.558155,114.55,7.778,,,,2454690,,508.507,,,,5,,
HD 181342 b,Radial Velocity,1,663,1.78,0.177,,,290.267639,-23.619572,115.47,7.551,,,,2454881,,1048.79,,,,5,,
HD 181720 b,Radial Velocity,1,956,,,,,290.720764,-32.919056,55.93,7.849,,,,,,117.59215,,,-45.2,4.1,,
HD 181433 b,Radial Velocity,3,9.3743,0.08,0.396,,,291.289856,-66.468796,26.15,8.4,,,,2454542,,7.56404,,,39.6,5.2,,
HD 181433 c,Radial Velocity,3,962,1.76,0.28,,,291.289856,-66.468796,26.15,8.4,,,,2453235,,203.40263,,,39.6,5.2,,
HD 181433 d,Radial Velocity,3,2172,3,0.48,,,291.289856,-66.468796,26.15,8.4,,,,2452154,,171.621,,,39.6,5.2,,
HD 183263 b,Radial Velocity,2,634.23,1.52,0.38,,,292.102386,8.358054,52.83,7.861,,,,2452120.61,,1172.74329,,,-50.7,4.5,,
HD 183263 c,Radial Velocity,2,2950,4.25,0.253,,,292.102386,8.358054,52.83,7.861,,,,2411910,,1214.059,,,-50.7,4.5,,
HD 185269 b,Radial Velocity,1,6.838,0.077,0.3,,,294.29892,28.499865,47.37,6.669,,,,2453154.1,,298.74761,,,0.2,4,,
HD 187123 b,Radial Velocity,2,3.097,0.042,0.03,,,296.742126,34.419525,47.92,7.832,,,,,,165.26464,,,-17.6,4.5,,
HD 187123 c,Radial Velocity,2,3810,4.89,0.252,,,296.742126,34.419525,47.92,7.832,,,,2453580.04,,632.455,,,-17.6,4.5,,
HD 187085 b,Radial Velocity,1,986,2.05,0.47,,,297.391541,-37.780552,44.98,7.214,,,,2450912,,238.36246,,,14.9,4,,
HD 188015 b,Radial Velocity,1,456.46,1.19,0.15,,,298.018921,28.100376,52.63,8.234,,,,,,400.44893,,,-0.4,4.5,,
HD 189733 b,Radial Velocity,1,2.21857578,0.03142,0,1.004,85.78,300.182129,22.710854,19.25,7.676,5040,0.84,0.75,,365.489,,12.902,0.118,-2.36,5.2,-0.48,
HD 190360 b,Radial Velocity,2,2891,3.92,0.36,,,300.905853,29.896805,15.89,5.7,,,,2560628.1,,477.36055,,,-45.3,4.7,,
HD 190360 c,Radial Velocity,2,17.1,0.128,0.01,,,300.905853,29.896805,15.89,5.7,,,,2461000.07,,18.11555,,,-45.3,4.7,,
HD 190647 b,Radial Velocity,1,1038.1,2.07,0.18,,,301.83197,-35.538631,54.23,7.775,,,,2453869,,603.85,,,-40.8,4.5,,
HD 190984 b,Radial Velocity,1,4885,,,,,302.877991,-64.620468,189.39,8.761,,,,,,985.23149,,,20.2,3.8,,
HD 192263 b,Radial Velocity,1,24.348,0.15,0,,,303.499359,-0.866877,19.89,7.768,,,,2451979.28,,228.828,,,-11.3,5.15,,
HD 192310 b,Radial Velocity,2,74.72,0.32,0.13,,,303.822449,-27.032976,8.82,5.73,,,,,,16.9,,,-54.8,5.3,,
HD 192310 c,Radial Velocity,2,525.8,1.18,0.32,,,303.822449,-27.032976,8.82,5.73,,,,,,24,,,-54.8,5.3,,
HD 192699 b,Radial Velocity,1,351.5,1.16,0.149,,,304.025024,4.580795,67.39,6.446,,,,2452994,,794.54153,,,,4.8,,
HD 195019 b,Radial Velocity,1,18.20163,0.1388,0.014,,,307.077637,18.769497,37.35,6.892,,,,2411015,,1175.921,,,-91.7,4.5,,
HD 196050 b,Radial Velocity,1,1289,2.5,0.28,,,309.465454,-60.634483,46.93,7.493,,,,,,953.44983,,,60.9,4.3,,
HD 196067 b,Radial Velocity,1,3638,5.02,0.66,,,310.433716,-75.3508,43.57,6.03,6017,1.29,1.73,2453375,,2192.9,,,-10.89,4.1,0.572,
HD 196885 b,Radial Velocity,1,1333,2.37,0.48,,,309.966156,11.249649,32.99,6.386,,,,2451992,,819.967,,,-33.2,3.8,,
HD 197037 b,Radial Velocity,1,1035.7,2.07,0.22,,,309.887329,42.24855,32.83,6.813,,,,2451353.1,,251,,,8.4,4,,
HD 200964 b,Radial Velocity,2,613.8,1.601,0.04,,,316.666016,3.803119,68.35,6.487,5164,1.44,4.3,2454900,,587.96,,,,4.8,1.064,
HD 200964 c,Radial Velocity,2,825,1.95,0.181,,,316.666016,3.803119,68.35,6.487,5164,1.44,4.3,2455000,,284.446,,,,4.8,1.064,
HD 202206 b,Radial Velocity,2,255.87,0.83,0.435,,,318.740692,-20.789209,46.34,8.071,,,,,,5530.00903,,,18.6,4.6,,
HD 202206 c,Radial Velocity,2,1383.4,2.55,0.267,,,318.740692,-20.789209,46.34,8.071,,,,,,775.47253,,,18.6,4.6,,
HD 203030 b,Imaging,1,,487.1,,,,319.742584,26.230545,40.85,8.425,,,,,7656.097,,,,-17,4.8,,
HD 204313 b,Radial Velocity,2,1931,3.082,0.131,,,322.050873,-21.726255,47.3,8.02,5760,1.02,,2453989,,1287.15727,,,-10.1,4.5,,
HD 204313 d,Radial Velocity,2,2831.6,3.93,0.28,,,322.050873,-21.726255,47.3,8.02,5760,1.02,,2456376.9,,533.93,,,-10.1,4.5,,
HD 204941 b,Radial Velocity,1,1733,2.56,0.37,,,323.097961,-20.957422,26.95,8.42,,,,2456015,,84.5392,,,,5.15,,
HD 205739 b,Radial Velocity,1,279.8,0.896,0.27,,,324.535034,-31.737484,90.33,8.544,,,,2453390.7,,435.40876,,,9.1,3.7,,
HD 206610 b,Radial Velocity,1,610,1.68,0.229,,,325.85376,-7.408253,170.07,8.346,,,,2454677,,699.197,,,,5,,
HD 207832 b,Radial Velocity,2,161.97,0.57,0.13,,,328.151184,-26.02656,55.31,8.786,5710,0.94,0.9,2453191.073,177.977,,,,-16.7,4.5,-0.112,
HD 207832 c,Radial Velocity,2,1155.7,2.112,0.27,,,328.151184,-26.02656,55.31,8.786,5710,0.94,0.9,2453191.073,232.006,,,,-16.7,4.5,-0.112,
HD 208527 b,Radial Velocity,1,875.5,2.1,0.08,,,329.099945,21.239859,352.11,6.4,4035,1.6,51.1,2450745.3,,3146.4,,,4.79,6.1,,
HD 208487 b,Radial Velocity,1,123,0.49,0.32,,,329.332703,-37.763622,43.99,7.471,,,,2451002.8,,143.01747,,,5.3,4.2,,
HD 209458 b,Radial Velocity,1,3.52474859,0.04747,0,0.362,86.59,330.794891,18.884319,47.08,7.632,6065,1.15,1.16,,226.921,,15.468,0.142,-14.9,3.8,0.21,
HD 210277 b,Radial Velocity,1,442.1,1.1,0.472,,,332.374451,-7.548654,21.29,6.53,,,,2450988.2,,390.91443,,,-20.9,4.9,,
HD 210702 b,Radial Velocity,1,354.8,1.2,0.094,,,332.963867,16.04055,55.93,5.95,4967,1.68,5.1,2452205,603.852,,,,,5,1.149,
HD 212771 b,Radial Velocity,1,373.3,1.22,0.111,,,336.762787,-17.263659,121.8,7.596,,,,2454947,,730.978,,,,4.8,,
HD 212301 b,Radial Velocity,1,2.245715,0.036,0,,,336.878845,-77.717926,52.72,7.764,,,,,,143.017,,,4.8,3.8,,
HD 213240 b,Radial Velocity,1,951,2.03,0.45,,,337.751526,-49.43327,40.75,6.814,,,,,,1430.17475,,,-0.5,4.05,,
HD 215497 b,Radial Velocity,2,3.93,,,,,341.653137,-56.599533,43.53,8.95,,,,,,5.40288,,,,5.3,,
HD 215497 c,Radial Velocity,2,567,,,,,341.653137,-56.599533,43.53,8.95,,,,,,104.87948,,,,5.3,,
HD 216435 b,Radial Velocity,1,1311,2.56,0.07,,,343.408051,-48.598286,33.29,6.04,,,,2450870,,400.44893,,,-1.1,4,,
HD 216437 b,Radial Velocity,1,1294,2.7,0.34,,,343.66452,-70.073708,26.52,6.05,,,,,,667.41488,,,-2.7,4.25,,
HD 216770 b,Radial Velocity,1,118.45,0.46,0.37,,,343.973785,-26.658764,37.89,8.094,,,,,,206.581,,,30.7,5,,
HD 217107 b,Radial Velocity,2,7.126816,0.0748,0.1267,,,344.564758,-2.395385,19.72,6.16,,,,2454396,,441.77,,,-14,4.8,,
HD 217107 c,Radial Velocity,2,4270,5.32,0.517,,,344.564758,-2.395385,19.72,6.16,,,,2451106,,826.32,,,-14,4.8,,
HD 217786 b,Radial Velocity,1,1319,2.38,0.4,,,345.78418,-0.429622,54.92,7.779,,,,2456053,,4131.62,,,9.9,3.8,,
HD 218566 b,Radial Velocity,1,225.7,0.6873,0.3,,,347.294708,-2.260742,29.94,8.628,,,,2450360,,66.7415,,,-37.8,5.3,,
HD 219077 b,Radial Velocity,1,5501,6.22,0.77,,,348.527435,-62.700005,29.2,6.12,5362,1.05,1.91,2450455.8,,3302.11,,,-30.87,4.8,0.425,
HD 219415 b,Radial Velocity,1,2093.3,3.2,0.4,,,348.724274,56.730328,,8.94,4820,1,2.9,2453460.9,317.817,,,,,,0.62,
HD 219828 b,Radial Velocity,1,3.8335,,0,,,349.694733,18.64572,81.1,8.008,,,,2453898.629,,19.8,,,-24.6,4,,
HD 220074 b,Radial Velocity,1,672.1,1.6,0.14,,,350.059906,61.970127,289.02,6.4,3935,1.2,49.7,2451158.2,,3527.8,,,-36.89,6.2,,
HD 220689 b,Radial Velocity,1,2209,3.36,0.16,,,351.470795,-20.61603,45.23,7.758,5921,1.04,1.07,2455649,,336.89,,,12.19,4.3,0.093,
HD 220773 b,Radial Velocity,1,3724.7,4.94,0.51,,,351.614349,8.643845,48.43,7.096,,,,2453866.4,,460.8,,,-38,4,,
HD 221287 b,Radial Velocity,1,456.1,1.25,0.08,,,352.834747,-58.209732,52.88,7.807,,,,2453263,,982.05,,,-21.6,3.7,,
HD 222155 b,Radial Velocity,1,3999,5.1,0.16,,,354.501282,48.996521,50.45,7.114,5765,1.13,1.67,2456319,,603.85,,,-43.99,4.2,,
HD 222582 b,Radial Velocity,1,572.38,1.35,0.725,,,355.464722,-5.985757,41.95,7.691,,,,2450706.7,,2463.07874,,,11.5,4.5,,
